.RUT (CBOE),776.99,+1.12,
Jan 08 2007 @ 21:29 ET (Data 15 Minutes Delayed),
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
07 Jan 760.0 (RUT AL-8),20.30,-0.90,20.50,21.10,16,1366,07 Jan 760.0 (RUT ML-8),3.80,-0.70,3.50,3.80,257,5432,
07 Jan 770.0 (RUT AN),14.30,--,13.20,13.80,182,1343,07 Jan 770.0 (RUT MN),6.00,-1.90,6.20,6.60,1494,4414,
07 Jan 770.0 (RUT AN-E),14.30,+0.10,13.20,13.80,84,1343,07 Jan 770.0 (RUT MN-E),6.00,-1.90,6.20,6.60,243,4414,
07 Jan 770.0 (RUT AN-A),12.50,-11.30,13.10,13.90,13,1343,07 Jan 770.0 (RUT MN-A),7.70,+0.30,6.00,6.60,1027,4414,
07 Jan 770.0 (RUT AN-B),0,pc,13.20,13.90,0,1343,07 Jan 770.0 (RUT MN-B),4.70,pc,6.10,6.70,0,4414,
07 Jan 770.0 (RUT AN-8),12.60,-1.70,13.20,13.80,85,1343,07 Jan 770.0 (RUT MN-8),5.80,-1.80,6.20,6.60,224,4414,
07 Jan 780.0 (RUT AP),8.30,-0.40,7.50,7.90,680,3161,07 Jan 780.0 (RUT MP),10.40,-2.30,10.30,10.80,570,9026,
07 Jan 780.0 (RUT AP-E),8.30,-0.40,7.50,7.90,271,3161,07 Jan 780.0 (RUT MP-E),10.00,-2.10,10.30,10.80,279,9026,
07 Jan 780.0 (RUT AP-A),6.40,-2.10,7.40,8.00,10,3161,07 Jan 780.0 (RUT MP-A),12.70,pc,10.10,10.80,0,9026,
07 Jan 780.0 (RUT AP-B),17.80,pc,7.40,8.00,0,3161,07 Jan 780.0 (RUT MP-B),7.10,pc,10.30,10.90,0,9026,
07 Jan 780.0 (RUT AP-8),8.00,-0.60,7.50,7.90,399,3161,07 Jan 780.0 (RUT MP-8),10.40,-1.50,10.30,10.80,291,9026,
07 Jan 790.0 (RUT AR),4.30,+0.30,3.50,3.90,785,6291,07 Jan 790.0 (RUT MR),16.10,-2.60,16.30,16.80,1308,6653,
07 Jan 790.0 (RUT AR-E),4.10,-0.40,3.50,3.90,100,6291,07 Jan 790.0 (RUT MR-E),16.10,-0.50,16.30,16.80,13,6653,
07 Jan 790.0 (RUT AR-A),4.30,+0.50,3.40,3.90,24,6291,07 Jan 790.0 (RUT MR-A),20.50,+1.80,16.10,16.90,1000,6653,
07 Jan 790.0 (RUT AR-B),14.00,pc,3.40,4.00,0,6291,07 Jan 790.0 (RUT MR-B),19.40,-0.10,16.20,16.90,11,6653,
07 Jan 790.0 (RUT AR-8),4.30,+0.30,3.50,3.90,661,6291,07 Jan 790.0 (RUT MR-8),16.00,-1.40,16.30,16.80,284,6653,
07 Jan 800.0 (RUT AS),1.35,-0.55,1.30,1.50,2437,10997,07 Jan 800.0 (RUT MS),23.70,-1.25,24.00,24.50,59,6107,
07 Jan 800.0 (RUT AS-E),1.60,-0.30,1.30,1.50,747,10997,07 Jan 800.0 (RUT MS-E),23.70,-1.60,24.00,24.60,27,6107,
07 Jan 800.0 (RUT AS-A),1.35,-0.55,1.30,1.65,4,10997,07 Jan 800.0 (RUT MS-A),17.70,pc,23.80,24.70,0,6107,
07 Jan 800.0 (RUT AS-B),1.60,-4.50,1.25,1.60,300,10997,07 Jan 800.0 (RUT MS-B),16.50,pc,23.90,24.60,0,6107,
07 Jan 800.0 (RUT AS-8),1.35,-0.65,1.30,1.55,1386,10997,07 Jan 800.0 (RUT MS-8),26.60,+1.65,24.00,24.50,32,6107,
07 Jan 810.0 (RUZ AB),0.50,-0.10,0.40,0.55,552,6369,07 Jan 810.0 (RUZ MB),32.50,-0.50,33.00,33.60,54,759,
07 Jan 810.0 (RUZ AB-E),0.50,-0.10,0.40,0.55,289,6369,07 Jan 810.0 (RUZ MB-E),28.40,pc,33.00,33.60,0,759,
07 Jan 810.0 (RUZ AB-A),0.45,-0.35,0.40,0.65,44,6369,07 Jan 810.0 (RUZ MB-A),0,pc,32.70,33.70,0,759,
07 Jan 810.0 (RUZ AB-B),1.80,pc,0.30,0.60,0,6369,07 Jan 810.0 (RUZ MB-B),24.80,pc,32.90,33.70,0,759,
07 Jan 810.0 (RUZ AB-8),0.50,-0.20,0.40,0.55,219,6369,07 Jan 810.0 (RUZ MB-8),32.50,-0.50,33.00,33.60,54,759,
